global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1611074318,Red-tailed Hawk,crows,crows,co-occur,mobbing,American Crow,American Crow,Landed in tree next to property until crows found it.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1927080626,Sharp-shinned Hawk,sparrow,sparrow,predation,predation,sparrow sp.,sparrow sp.,Caught a sparrow in my yard and proceeded to eat it.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1873639693,Ross's Goose,snow goose,snow goose,co-occur,co-occur,Snow Goose,Snow Goose,"Immature small white goose with black wingtips, round head and short stubby bill. Much smaller than nearby immature Snow Goose. Slight gray spotting evident on top of cute rounded head. Found on Gull Road just past Zoetis Business, West side of road farm field. Photos to follow.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1932136151,Trumpeter Swan,"mute swans, tundra swans","mute swans, tundra swans",facilitation-mixed flocking,co-occur,"Tundra Swan, Mute Swan","Tundra Swan, Mute Swan",Large swan with an all black beak with a V shape around the eyes. Seen next to Huron Pointe Excavating with mute swans and tundra swans. Near Harley Ensign off of South River Rd.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1629367898,Sandhill Crane,greater white-fronted geese,greater white-fronted geese,facilitation-mixed flocking,facilitation-comigration,Greater White-fronted Goose,Greater White-fronted Goose,Continuing in area. Flew off southeast with Greater White-fronted Geese.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1632915682,Evening Grosbeak,"gold finch, morning doves","gold finch, morning doves",facilitation-feeding,facilitation-feeding,"Mourning Dove, American Goldfinch","Mourning Dove, American Goldfinch","They tend to feed with the gold finch & morning doves. So cool, as this is our first winter (in the 5 we’ve lived here) that we’ve had them at the feeder.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1626309322,American Crow,great horned owl,great horned owl,mobbing,mobbing,Great Horned Owl,Great Horned Owl,all mobbing the great horned owl that was heard but not seen,1
URN:CornellLabOfOrnithology:EBIRD:OBS1624722224,Brown-headed Cowbird,rwbl,rwbl,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,"Accurate count, mixed with RWBL. Conical-bill, shorter tail, smaller overall size.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1629557021,Common Loon,herring gulls,herring gulls,co-occur,co-occur,American Herring Gull,American Herring Gull,"Large distant waterbird floating on the water near some Herring Gulls. Obvious loon shape, gray crown and back, and white face and neck were seen. Bill was too large for Red-throated Loon. Photos will be uploaded shortly.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1898247404,Ruffed Grouse,blja,"modos, blja",facilitation-feeding,facilitation-feeding,Blue Jay,Blue Jay,"This morning, the usual RUGRs weren’t foraging with the MODOs predawn as has become a typical morning ritual. But, a RUGR did appear on the disintegrating wood pile out back & began foraging a pile of seeds I had placed on the logs earlier. It was joined by a BLJA & both foraged the seeds without displacing one another, at times less than an inch apart…never noticed the BLJAs & RUGRs foraging so intimately before (perhaps I just never noticed but today it caught my attention).",1
URN:CornellLabOfOrnithology:EBIRD:OBS1642206333,Red-winged Blackbird,common grackles,common grackles,facilitation-mixed flocking,facilitation-mixed flocking,Common Grackle,Common Grackle,First seen this year; on mixed seed and peanut splits; very short visit; none seen later in the day; 2 Common Grackles with them,1
URN:CornellLabOfOrnithology:EBIRD:OBS1924360253,Purple Finch,house finch,house finches,facilitation-feeding,facilitation-feeding,House Finch,House Finch,Deep reddish. Heavy eye stripe. No grey ear patch. Reddish flanks to tail coverts. Chunkier than house finch. Occasional at feeder with male house Finches for comparison.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1664311501,Merlin,mallards,mallards,amensalism,amensalism,Mallard,Mallard,"brown streaks on chest, gray on back, small-medium sized falcon, likely female. kicked up mallards. typical bird here. image taken",1
URN:CornellLabOfOrnithology:EBIRD:OBS1876309732,Ross's Goose,canada geese,canada geese,facilitation-feeding,facilitation-feeding,Canada Goose,Canada Goose,Continuing. Small white goose with black wingtips feeding on grass with a large flock of Canada Geese near Shelter 10. Stubby bill with no grin line.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1883501104,Northern Shrike,hairy woodpecker,hairy woodpecker,mobbing,aggression,Hairy Woodpecker,Hairy Woodpecker,"Juvenile. Perched 2"" from a hairy woodpecker that flared its wings and stared it down.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1921421808,Northern Shoveler,mallards,mallards,co-occur,facilitation-mixed flocking,Mallard,Mallard,"With a group of mallards, smaller, very large bill, white breast, brown patch on side, green head",0
URN:CornellLabOfOrnithology:EBIRD:OBS1872943051,Downy Woodpecker,rtha,rtha,amensalism,predation,Red-tailed Hawk,Red-tailed Hawk,"Froze on bark-butter into trance-like, motionless position - suspect defensive, protective measure against presence of RTHA. Remained immobile for approx. 10 minutes with only slightly discernible head/eye movements (close binocular viewing).",0
URN:CornellLabOfOrnithology:EBIRD:OBS1926854079,Pied-billed Grebe,"mallards, golden eyes","mallards, golden eyes",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Common Goldeneye","Mallard, Common Goldeneye","Small grebe. Stocky head, short bill. Mingling with mallards and golden eyes. And half their size. Very brown and a lighter front.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1603114497,Greater Scaup,lessers,lessers,facilitation-mixed flocking,facilitation-mixed flocking,Lesser Scaup,Lesser Scaup,One Greater swimming among the Lessers,1
URN:CornellLabOfOrnithology:EBIRD:OBS1891294382,Pine Siskin,finches,no species,facilitation-mixed flocking,no interaction,American Goldfinch,no species,Rough estimate of large and small circulating mixed flocks of finches.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1634127985,Cedar Waxwing,bohemians,bohemians,facilitation-mixed flocking,facilitation-mixed flocking,Bohemian Waxwing,Bohemian Waxwing,Mixed in with bohemians,1
URN:CornellLabOfOrnithology:EBIRD:OBS1634478832,Bald Eagle,crow,crow,mobbing,mobbing,American Crow,American Crow,Soaring over my house being chased by a crow,1
URN:CornellLabOfOrnithology:EBIRD:OBS1925242817,Double-crested Cormorant,gulls,gulls,co-occur,co-occur,gull sp.,gull sp.,standing on pier with gulls. see image,1
URN:CornellLabOfOrnithology:EBIRD:OBS1925313251,White-crowned Sparrow,"hosp, atsp","hosp, atsp",facilitation-mixed flocking,facilitation-mixed flocking,"House Sparrow, American Tree Sparrow","House Sparrow, American Tree Sparrow","Large sparrow, larger than both HOSP and ATSP it was with. Flushed into a bush and didn't see crown. Distinct gray underside and head area. Brown back and white wingbars seen.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1884244073,American Golden-Plover,dunlin,dunlin,facilitation-mixed flocking,facilitation-mixed flocking,Dunlin,Dunlin,"Shorebird across the harbor about twice the size of the associating Dunlin or a little bigger. Overall dark brownish in color, long legs, strong supercilium, dark cap. Photos.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1623621376,European Starling,no species,no species,no interaction,no interaction,no species,no species,All trying to bathe at the same time,1
URN:CornellLabOfOrnithology:EBIRD:OBS1889444265,Red-tailed Hawk,passerine,passerine,predation,predation,passerine sp.,passerine sp.,Swooped under the feeder and grabbed a passerine,1
URN:CornellLabOfOrnithology:EBIRD:OBS1630853606,Red-shouldered Hawk,rtha,rtha,competition,competition,Red-tailed Hawk,Red-tailed Hawk,Pair flying together and calling. Seemed agitated by a pair of RTHA flying nearby.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607143387,Common Merganser,common goldeneye,common goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,"Together with Common Goldeneyes far out in a water trough in the mostly frozen lake beyond the observation tower, looking south/downstream.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1636727692,Northern Shoveler,"canada geese, mallards","canada geese, mallards",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose","Mallard, Canada Goose",In shallow water with Canada Geese and Mallards,1
URN:CornellLabOfOrnithology:EBIRD:OBS1912346414,Golden Eagle,bald eagle,bald eagle,facilitation-mixed flocking,facilitation-mixed flocking,Bald Eagle,Bald Eagle,"Large dark raptor flying with an immature Bald Eagle. White upper tail with broad dark terminal tail band. White patches in inner primary coverts, golden nape.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1924336274,Savannah Sparrow,"tree sparrows, buntings","tree sparrows, buntings",facilitation-mixed flocking,facilitation-mixed flocking,"American Tree Sparrow, Snow Bunting","American Tree Sparrow, Snow Bunting",With tree sparrows and buntings. Yellow near the eyes with streaking down the chest and flanks. Have pics,1
URN:CornellLabOfOrnithology:EBIRD:OBS1639211377,American Crow,eagles,eagles,co-occur,mobbing,Bald Eagle,Bald Eagle,flock of at least ten; four briefly landed in the same tree the eagles were in,0
URN:CornellLabOfOrnithology:EBIRD:OBS1926557717,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,Foraging predawn w/MODOs…exceedingly skittish though (run or low flight into bush at any disturbance other than MODOs),1
URN:CornellLabOfOrnithology:EBIRD:OBS1903593499,Common Grackle,blackbird,no species,facilitation-feeding,no interaction,Red-winged Blackbird,no species,Conservative estimate in a huge mixed blackbird flock (probably several thousand) seen foraging in a recently picked corn stubble field. Photos and video.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1605515878,Northern Pintail,"mallard, canada geese","mallard, canada geese",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose","Mallard, Canada Goose","4 drakes, at least 1 female in back of marsh on west side of road. Mixed in with large group of mallard and Canada geese.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1871300162,Brant,cagos,cagos,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Still hanging out with the CAGOs along the beach.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1904102572,Bald Eagle,common merganser,common mergansers,predation,aggression,Common Merganser,Common Merganser,"Two adults strafing the Common Mergansers, who nevertheless stayed put",0
URN:CornellLabOfOrnithology:EBIRD:OBS1614480755,American Crow,"rtha, ghow","rtha, ghow",mobbing,mobbing,"Red-tailed Hawk, Great Horned Owl","Red-tailed Hawk, Great Horned Owl",Likely mobbing RTHA although might have heard GHOW calls. Hard to tell with the racket.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1907156417,Hermit Thrush,no species,no species,no interaction,no interaction,no species,no species,calling at same time,1
URN:CornellLabOfOrnithology:EBIRD:OBS1604739898,Sharp-shinned Hawk,chickadee,chickadee,predation,predation,chichadee sp.,chichadee sp.,Actually saw sharp-shinned hawk close range—stopped in front of us standing on ground w/chickadee in its talons. Sharp-shinned hawk had small head & squarish tail,1
URN:CornellLabOfOrnithology:EBIRD:OBS1597949722,Boreal Chickadee,bcch,bcch,facilitation-feeding,facilitation-mixed flocking,Black-capped Chickadee,Black-capped Chickadee,"Continuing- Thank you so much Sue for inviting us over to see these splendid birds! Coming to feeders sporadically with BCCH, photos to be added eventually.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1866289400,Black Scoter,surf scoter,surf scoters,facilitation-mixed flocking,facilitation-mixed flocking,Surf Scoter,Surf Scoter,A female type was swimming with 4 Surf Scoters. Dark brown plump duck with very pale cream-colored large cheek patch.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1876879772,Dunlin,no species,no species,no interaction,no interaction,no species,no species,"Count estimated. Same location as last week’s sightings. Flying together over west lagoon, back and forth, landed together on narrow shore.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1919280218,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,"Adult Blue morph. Gray body, white neck and head. Pink bill with grin patch. Resting on ice with Canada Geese. Occasionally obscured from view. Photos.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1904906996,Hooded Merganser,mixed flock,no species,facilitation-mixed flocking,no interaction,no species,no species,9:17 AM About five in a mixed flock on Grassy Lake.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1611263984,Ross's Goose,cago,cago,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Flew into Harbor with CAGO around 5:30, continuing, small white goose with narrow wings, doc photo",1
URN:CornellLabOfOrnithology:EBIRD:OBS1924506709,Snow Bunting,american tree sparrow,american trees sparrows,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,In the beach parking lot and south marina parking lot with a huge flock of American trees sparrows.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1936118594,Fox Sparrow,finch,no species,facilitation-mixed flocking,no interaction,Purple Finch,no species,2 sitting upright on autumn olive in same area with the finch flock on east side of the lake.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1920717632,Short-eared Owl,rlha,rlha,aggression-potential competition,aggression,Rough-legged Hawk,Rough-legged Hawk,Flying over road and to the south. Harassing RLHA,0
URN:CornellLabOfOrnithology:EBIRD:OBS1926913829,Bald Eagle,golden eagle,golden eagle,aggression-potential competition,aggression,Golden Eagle,Golden Eagle,Two Bald Eagles chasing the immature Golden Eagle,0
URN:CornellLabOfOrnithology:EBIRD:OBS1634802507,Merlin,starlings,starlings,amensalism,amensalism,European Starling,European Starling,"Saw from my window looking north over Liberty st. Cruising in on pointed wings, it scattered the starlings from the power lines, then perched a few times in the tall trees along 3rd st and again along Williams st. Got clear perched views in my scope, and could rule out PEFA based on small size, facial markings, and dense upper breast streaks.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1616338523,Redhead,scaup,scaup,facilitation-mixed flocking,facilitation-mixed flocking,scaup sp.,scaup sp.,"2-3000 in raft hugging shore just north of NMC, no doubt some scaup mixed in, but too far to sort with binoculars from across the lake.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1634178188,Cedar Waxwing,robin,robin,facilitation-mixed flocking,facilitation-mixed flocking,American Robin,American Robin,Single waxwing with the robin flock in field D,1
URN:CornellLabOfOrnithology:EBIRD:OBS1960189527,Hairy Woodpecker,no species,no species,no interaction,no interaction,no species,no species,Pecking burning bush together,1
URN:CornellLabOfOrnithology:EBIRD:OBS1898845031,Common Grackle,eust,eust,facilitation-mixed flocking,facilitation-mixed flocking,European Starling,European Starling,"Large blackbird with long tail and glossy head, yellow eye, larger dark bill than the EUST it was with. Photos.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1901892779,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,"Foraging, predawn, with MODOs",1
URN:CornellLabOfOrnithology:EBIRD:OBS1601612725,Bald Eagle,gulls,gulls,predation,aggression,gull sp.,gull sp.,2 adults and 2 immature. All we’re making passes at Gulls on water.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1868009656,Greater Scaup,lessers,lessers,facilitation-mixed flocking,facilitation-mixed flocking,Lesser Scaup,Lesser Scaup,James called out one in a flock of mostly Lessers,1
URN:CornellLabOfOrnithology:EBIRD:OBS1903474079,Bald Eagle,common merganser,common mergansers,co-occur,co-occur,Common Merganser,Common Merganser,"2 Adults, 3 Immatures perched on tree watching Common Mergansers",1
URN:CornellLabOfOrnithology:EBIRD:OBS1899108689,Trumpeter Swan,"trumpeter, tundra swan",tundra swans,facilitation-mixed flocking,facilitation-mixed flocking,"Trumpeter Swan, Tundra Swan",Tundra Swan,"Mix of Trumpeter and Tundra. Definitely quite a lot of Tundra Swans with yellow lores but also a few immature/adult Trumpeter with larger sloping bills, v-shaped foreheads and larger size",1
URN:CornellLabOfOrnithology:EBIRD:OBS1892813305,Fox Sparrow,deju,deju,facilitation-mixed flocking,facilitation-mixed flocking,Dark-eyed Junco,Dark-eyed Junco,"Upside-down “v” pattern on breast, overall reddish tail, back, cheek and wings, gray crown, whitish wing bar. In meadow edge thicket associating with DEJU. Photos to come",1
URN:CornellLabOfOrnithology:EBIRD:OBS1616372323,American Wigeon,aythya,aythya,facilitation-mixed flocking,co-occur,aythya sp.,aythya sp.,"1 adult male, cream colored on crown. On fringe of aythya raft.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1918473298,Northern Shrike,blue jay,blue jays,mobbing,mobbing,Blue Jay,Blue Jay,"Never expected to see a shrike in my yard! Gray and brown bird (immature) with black mask, hooked beak, black back, and long tail. Perched in bare tree far enough away so that I had to watch it with my scope rather than binoculars. Calling repeatedly with audio exactly matching Merlin's audio for Northern Shrike but too far away to get good audio. The shrike was also getting harassed by Blue Jays. Lifer!!",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639946191,Brown-headed Cowbird,bb,bb,facilitation-mixed flocking,facilitation-mixed flocking,blackbird sp.,blackbird sp.,Continuing with BB flock,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632896216,Red-winged Blackbird,no species,no species,no interaction,no interaction,no species,no species,All flew in together. Have photos,1
URN:CornellLabOfOrnithology:EBIRD:OBS1629274488,Northern Pintail,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"2 drakes and 2 hens. Heard males calling, ""buzz-puup"". Eventually they flew to the South with several mallards.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1924996981,Fox Sparrow,birds,other birds,facilitation-feeding,facilitation-feeding,bird sp.,bird sp.,feeding on ground with mix of other birds,1
URN:CornellLabOfOrnithology:EBIRD:OBS1916109377,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,RUGRs peacefully foraging with MODOs…predawn morning routine,1
URN:CornellLabOfOrnithology:EBIRD:OBS1654470948,Hermit Thrush,robins,robins,facilitation-mixed flocking,facilitation-mixed flocking,American Robin,American Robin,Continuing thrush associating with robins.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1611712183,Lesser Scaup,geese,geese,facilitation-mixed flocking,co-occur,goose sp.,goose sp.,"M scaup, pointy head, w geese in W lagoon, N end.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1907123428,Hooded Merganser,common goldeneye,common goldeneye,facilitation-mixed flocking,co-occur,Common Goldeneye,Common Goldeneye,"Distinctive males, with black bordered whote crest. Females also with brown crest. Smaller than surrounding Common Goldeneye.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1633373425,Brown Creeper,"woodpeckers, nuthatch","woodpeckers, nuthatch",facilitation-mixed flocking,facilitation-mixed flocking,"woodpecker sp., nuthatch sp.","woodpecker sp., nuthatch sp.",All six among assemblage of woodpeckers and nuthatch. Pic,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632215390,Snow Goose,canadas,canadas,co-occur,co-occur,Canada Goose,Canada Goose,"White goose with black wingtips, pink-orange bill and grin patch. Smaller than nearby Canadas. Pic.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1867070072,Lesser Yellowlegs,greater yellowlegs,greater yellowlegs,facilitation-mixed flocking,facilitation-mixed flocking,Greater Yellowlegs,Greater Yellowlegs,Heard the birds calling and saw them flying side be side with Greater Yellowlegs,1
URN:CornellLabOfOrnithology:EBIRD:OBS1903345961,Blue-winged Teal,gadwall,gadwalls,facilitation-feeding,facilitation-feeding,Gadwall,Gadwall,Resident female Blue-winged Teal in Pond 9 feeding with Gadwalls,1
URN:CornellLabOfOrnithology:EBIRD:OBS1892414184,Short-eared Owl,harrier,harrier,mobbing,mobbing,Northern Harrier,Northern Harrier,"Continuing, seen by many others. Very active upon arrival at 4:30; hunting, flying over the field north of the trail and over the trail about 1 mile west of Dalton. Two owls observed mobbing an annoyed harrier.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1889599680,Trumpeter Swan,tundra,tundra,facilitation-mixed flocking,facilitation-mixed flocking,Tundra Swan,Tundra Swan,41 plus trumpeters in a cornfield along with 35 tundra,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632495790,Red-winged Blackbird,"graclkes, starlings","grackles, starlings",facilitation-mixed flocking,facilitation-mixed flocking,"Common Grackle, European Starling","Common Grackle, European Starling",Small flock with grackles and starlings,1
URN:CornellLabOfOrnithology:EBIRD:OBS1914216758,Northern Shoveler,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Long spatula like bill. Multiple birds in corn fields with mallards,1
URN:CornellLabOfOrnithology:EBIRD:OBS1631474746,American Crow,"peregrine falcon, red-tailed hawk","peregrine falcon, red-tailed hawks",mobbing,mobbing,"Peregrine Falcon, Red-tailed Hawk","Peregrine Falcon, Red-tailed Hawk",They spent the morning harassing a peregrine falcon and 2 red-tailed hawks.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1642578751,Trumpeter Swan,tundra swan,tundra swan,co-occur,co-occur,Tundra Swan,Tundra Swan,"Larger than the Tundra swan adjacent to them, more angular bill, the bill was entirely black, the eye was contained in the black of the bill. The Tundra swans eye appears outside the base of the bill making it easier to see it. A clear separation.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1914368827,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing Blue phase with Canada Geese off the NW University campus.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607416205,American Black Duck,mallard,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Mixed in with the Mallards,1
URN:CornellLabOfOrnithology:EBIRD:OBS1916543770,Brant,canadas,canadas,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Continuing. Flew in from the north with a flock of Canadas. Small goose almost the size of a mallard, all dark colored with white on its neck.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1933281819,Peregrine Falcon,dove,dove,predation,predation,Mourning Dove,Mourning Dove,"Spotted a pair of Peregrine Falcons in Royal Oak, MI; one was eating a dove, one was perched nearby on the corner of the building.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1899975736,Common Grackle,"rusty, red wing, cowbird","rusty, red wing, cowbird",facilitation-mixed flocking,facilitation-mixed flocking,"Rusty Blackbird, Red-winged Blackbird, Brown-headed Cowbird","Rusty Blackbird, Red-winged Blackbird, Brown-headed Cowbird","Roosting with rusty, red wing, cowbird in trees close to trail",1
URN:CornellLabOfOrnithology:EBIRD:OBS1912999360,American White Pelican,tundra swans,tundra swans,facilitation-mixed flocking,facilitation-mixed flocking,Tundra Swan,Tundra Swan,"Minimum number. Two tight groups and several individuals clustered in south part of Vermet Unit. Mixed with Tundra swans. Very large birds, large yellow bills, black on wings when raised. Added a blurry photo of one group taken after most of the Tundra Swans had flown from area, but should be sufficient for ID.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1612148732,Tundra Swan,mute swans,mute swans,co-occur,co-occur,Mute Swan,Mute Swan,Swans smaller than nearby Mute Swans with yellow spot on the lores,1
URN:CornellLabOfOrnithology:EBIRD:OBS1896957299,Iceland Gull,"ring-billed, herring gulls","ring-billed, herring gulls",facilitation-mixed flocking,co-occur,"Ring-billed Gull, American Herring Gull","Ring-billed Gull, American Herring Gull",Single adult Thayer's form perched on the ice with Ring-billed and Herring Gulls. The underside of the folded primaries was white. Eye was dark.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1625377344,Sharp-shinned Hawk,rbnu,rbnu,predation,predation,Red-breasted Nuthatch,Red-breasted Nuthatch,"Small accipiter, square tail, fairly large white spots on slate gray back, head with hooded look (vs capped in COHA), possible male. Flying by bird feeder and yew, trying to catch a RBNU that is hanging on to the underside of the bird feeder bar (see photo under RBNU.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1914572477,Northern Pintail,mallards,mallards,facilitation-feeding,facilitation-feeding,Mallard,Mallard,Drake; probably same bird continuing from 2 days ago found by Ben Wilson. Feeding amongst several dozen mallards front of Island at the at the Lost Lake and Lost Island trailhead.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1620628154,Common Raven,crows,crows,co-occur,co-occur,American Crow,American Crow,Size similar to hawk (nearby crows were slightly bigger than rock pigeons) with hefty large bill curving down. Flight showed curve at wrist.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1628143297,Red-tailed Hawk,cooper⊙s hawk,cooper's hawk,aggression,aggression,Cooper's Hawk,Cooper's Hawk,Chasing the Cooper’s hawk off its roost.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607202100,Mallard,no species,white duck,no interaction,co-occur,no species,duck sp.,White duck present with mallards,0
URN:CornellLabOfOrnithology:EBIRD:OBS1893608495,American Crow,great horned owl,great horned owl,mobbing,mobbing,Great Horned Owl,Great Horned Owl,Harassing a Great Horned Owl,1
URN:CornellLabOfOrnithology:EBIRD:OBS1599553439,Bald Eagle,geese,geese,amensalism,amensalism,Canada Goose,Canada Goose,"Flying over Oakwoods, disturbing geese.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1897588520,Northern Pintail,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Two adult males. Initially viewed from about 30 yards away. Swimming with Mallards.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1905801300,Short-eared Owl,harrier,harrier,aggression,aggression,Northern Harrier,Northern Harrier,"Continuing. One owl briefly chased a harrier, then landed and sat on top of post.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1930158978,Snow Goose,canadas,canadas,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Found by Rollin Bresson, really ratty mostly dark juvenile goose associating with Canadas. Pics",1
