species1_common,species2_common,multispecies,interaction,uncertain_descriptio,global_unique_identifier,uncertain_description,common_name,species_comments
Ross's Goose,Snow Goose,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1873639693,,Ross's Goose,"Immature small white goose with black wingtips, round head and short stubby bill.  Much smaller than nearby immature Snow Goose.  Slight gray spotting evident on top of cute rounded head.   Found on Gull Road just past Zoetis Business, West side of road farm field. Photos to follow."
Trumpeter Swan,"mute swans, tundra swans",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1932136151,,Trumpeter Swan,Large swan with an all black beak with a V shape around the eyes. Seen next to Huron Pointe Excavating with mute swans and tundra swans. Near Harley Ensign off of South River Rd.
Sandhill Crane,Greater White-fronted Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1629367898,,Sandhill Crane,Continuing in area. Flew off southeast with Greater White-fronted Geese.
Evening Grosbeak,"gold finch, morning doves",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1632915682,,Evening Grosbeak,"They tend to feed with the gold finch & morning doves. So cool, as this is our first winter (in the 5 we’ve lived here) that we’ve had them at the feeder."
American Crow,Great Horned Owl,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1626309322,,American Crow,all mobbing the great horned owl that was heard but not seen
Brown-headed Cowbird,RWBL,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1624722224,,Brown-headed Cowbird,"Accurate count, mixed with RWBL. Conical-bill, shorter tail, smaller overall size."
Common Loon,Herring Gulls,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1629557021,,Common Loon,"Large distant waterbird floating on the water near some Herring Gulls. Obvious loon shape, gray crown and back, and white face and neck were seen. Bill was too large for Red-throated Loon. Photos will be uploaded shortly."
Ruffed Grouse,BLJA,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1898247404,,Ruffed Grouse,"This morning, the usual RUGRs weren’t foraging with the MODOs predawn as has become a typical morning ritual.  But, a RUGR did appear on the disintegrating wood pile out back & began foraging a pile of seeds I had placed on the logs earlier.  It was joined by a BLJA & both foraged the seeds without displacing one another, at times less than an inch apart…never noticed the BLJAs & RUGRs foraging so intimately before (perhaps I just never noticed but today it caught my attention)."
Red-winged Blackbird,Common Grackles,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1642206333,,Red-winged Blackbird,First seen this year; on mixed seed and peanut splits; very short visit; none seen later in the day; 2 Common Grackles with them
Sharp-shinned Hawk,Downy Woodpecker,,,,URN:CornellLabOfOrnithology:EBIRD:OBS1901352328,,Sharp-shinned Hawk,Small hawk (size of a robin or mourning dove) with obvious square tail did impressive figure eights among the oak tree by the feeders and flew off with a downy woodpecker.
Purple Finch,House Finch,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1924360253,,Purple Finch,Deep reddish. Heavy eye stripe. No grey ear patch. Reddish flanks to tail coverts. Chunkier than house finch. Occasional at feeder with male house Finches for comparison.
Merlin,mallards,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1664311501,,Merlin,"brown streaks on chest, gray on back, small-medium sized falcon, likely female. kicked up mallards. typical bird here. image taken"
Ross's Goose,Canada Geese,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1876309732,,Ross's Goose,Continuing. Small white goose with black wingtips feeding on grass with a large flock of Canada Geese near Shelter 10. Stubby bill with no grin line.
Northern Shrike,Hairy Woodpecker,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1883501104,,Northern Shrike,"Juvenile.  Perched 2"" from a hairy woodpecker that flared its wings and stared it down."
Northern Shoveler,mallards,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1921421808,,Northern Shoveler,"With a group of mallards, smaller, very large bill, white breast, brown patch on side, green head"
Downy Woodpecker,RTHA,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1872943051,,Downy Woodpecker,"Froze on bark-butter into trance-like, motionless position - suspect defensive, protective measure against presence of RTHA.  Remained immobile for approx. 10 minutes with only slightly discernible head/eye movements (close binocular viewing)."
Pied-billed Grebe,"mallards, golden eyes",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1926854079,,Pied-billed Grebe,"Small grebe.  Stocky head, short bill.  Mingling with mallards and golden eyes. And half their size.  Very brown and a lighter front."
Greater Scaup,Lessers,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1603114497,,Greater Scaup,One Greater swimming among the Lessers
Pine Siskin,finches,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1891294382,,Pine Siskin,Rough estimate of large and small circulating mixed flocks of finches.
Cedar Waxwing,bohemians,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1634127985,,Cedar Waxwing,Mixed in with bohemians
Bald Eagle,crow,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1634478832,,Bald Eagle,Soaring over my house being chased by a crow
Double-crested Cormorant,gulls,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1925242817,,Double-crested Cormorant,standing on pier with gulls. see image
White-crowned Sparrow,"HOSP, ATSP",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1925313251,,White-crowned Sparrow,"Large sparrow, larger than both HOSP and ATSP it was with. Flushed into a bush and didn't see crown. Distinct gray underside and head area. Brown back and white wingbars seen."
American Golden-Plover,Dunlin,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1884244073,,American Golden-Plover,"Shorebird across the harbor about twice the size of the associating Dunlin or a little bigger. Overall dark brownish in color, long legs, strong supercilium, dark cap.  Photos."
European Starling,,,,,URN:CornellLabOfOrnithology:EBIRD:OBS1623621376,,European Starling,All trying to bathe at the same time
Red-tailed Hawk,passerine,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1889444265,,Red-tailed Hawk,Swooped under the feeder and grabbed a passerine
Red-shouldered Hawk,RTHA,,competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1630853606,,Red-shouldered Hawk,Pair flying together and calling. Seemed agitated by a pair of RTHA flying nearby.
Common Merganser,Common Goldeneye,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607143387,,Common Merganser,"Together with Common Goldeneyes far out in a water trough in the mostly frozen lake beyond the observation tower, looking south/downstream."
Northern Shoveler,"Canada Geese, Mallards",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636727692,,Northern Shoveler,In shallow water with Canada Geese and Mallards
Golden Eagle,Bald Eagle,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912346414,,Golden Eagle,"Large dark raptor flying with an immature Bald Eagle. White upper tail with broad dark terminal tail band. White patches in inner primary coverts, golden nape."
Savannah Sparrow,"tree sparrows, buntings",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1924336274,,Savannah Sparrow,With tree sparrows and buntings. Yellow near the eyes with streaking down the chest and flanks. Have pics
American Crow,eagles,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1639211377,,American Crow,flock of at least ten; four briefly landed in the same tree the eagles were in
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1926557717,,Ruffed Grouse,Foraging predawn w/MODOs…exceedingly skittish though (run or low flight into bush at any disturbance other than MODOs)
Common Grackle,blackbird,TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1903593499,,Common Grackle,Conservative estimate in a huge mixed blackbird flock (probably several thousand) seen foraging in a recently picked corn stubble field.  Photos and video.
Northern Pintail,"mallard, Canada geese",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1605515878,,Northern Pintail,"4 drakes, at least 1 female in back of marsh on west side of road. Mixed in with large group of mallard and Canada geese."
Brant,CAGOs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1871300162,,Brant,Still hanging out with the CAGOs along the beach.
Bald Eagle,Common Merganser,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1904102572,,Bald Eagle,"Two adults strafing the Common Mergansers, who nevertheless stayed put"
American Crow,"RTHA, GHOW",TRUE,mobbing,TRUE,URN:CornellLabOfOrnithology:EBIRD:OBS1614480755,,American Crow,Likely mobbing RTHA although might have heard GHOW calls.  Hard to tell with the racket.
Hermit Thrush,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1907156417,,Hermit Thrush,calling at same time
Sharp-shinned Hawk,chickadee,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1604739898,,Sharp-shinned Hawk,Actually saw sharp-shinned hawk close range—stopped in front of us standing on ground w/chickadee in its talons. Sharp-shinned hawk had small head & squarish tail
Boreal Chickadee,BCCH,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1597949722,,Boreal Chickadee,"Continuing- Thank you so much Sue for inviting us over to see these splendid birds! Coming to feeders sporadically with BCCH, photos to be added eventually."
Black Scoter,Surf Scoter,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1866289400,,Black Scoter,A female type was swimming with 4 Surf Scoters.  Dark brown plump duck with very pale cream-colored  large cheek patch.
Dunlin,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1876879772,,Dunlin,"Count estimated. Same location as last week’s sightings. Flying together over west lagoon, back and forth, landed together on narrow shore."
Snow Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1919280218,,Snow Goose,"Adult Blue morph. Gray body, white neck and head. Pink bill with grin patch. Resting on ice with Canada Geese. Occasionally obscured from view. Photos."
Hooded Merganser,mixed flock,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1904906996,,Hooded Merganser,9:17 AM                                                             About five in a mixed flock on Grassy Lake.
Ross's Goose,CAGO,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611263984,,Ross's Goose,"Flew into Harbor with CAGO around 5:30, continuing, small white goose with narrow wings, doc photo"
Snow Bunting,American Tree Sparrow,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1924506709,,Snow Bunting,In the beach parking lot and south marina parking lot with a huge flock of American trees sparrows.
Fox Sparrow,finch,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1936118594,,Fox Sparrow,2 sitting upright on autumn olive in same area with the finch flock on east side of the lake.
Short-eared Owl,RLHA,,aggression-potential competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1920717632,,Short-eared Owl,Flying over road and to the south. Harassing RLHA
Bald Eagle,Golden Eagle,,aggression-potential competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1926913829,,Bald Eagle,Two Bald Eagles chasing the immature Golden Eagle
Merlin,starlings,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1634802507,,Merlin,"Saw from my window looking north over Liberty st. Cruising in on pointed wings, it scattered the starlings from the power lines, then perched a few times in the tall trees along 3rd st and again along Williams st. Got clear perched views in my scope, and could rule out PEFA based on small size, facial markings, and dense upper breast streaks."
Redhead,scaup,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1616338523,,Redhead,"2-3000 in raft hugging shore just north of NMC, no doubt some scaup mixed in, but too far to sort with binoculars from across the lake."
Cedar Waxwing,robin,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1634178188,,Cedar Waxwing,Single waxwing with the robin flock in field D
Hairy Woodpecker,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1960189527,,Hairy Woodpecker,Pecking burning bush together
Common Grackle,EUST,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1898845031,,Common Grackle,"Large blackbird with long tail and glossy head, yellow eye, larger dark bill than the EUST it was with. Photos."
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1901892779,,Ruffed Grouse,"Foraging, predawn, with MODOs"
Bald Eagle,Gulls,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1601612725,,Bald Eagle,2 adults and 2 immature. All we’re making passes at Gulls on water.
Greater Scaup,Lessers,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1868009656,,Greater Scaup,James called out one in a flock of mostly Lessers
Bald Eagle,Common Merganser,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1903474079,,Bald Eagle,"2 Adults, 3 Immatures perched on tree watching Common Mergansers"
Trumpeter Swan,"Trumpeter, Tundra Swan",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1899108689,,Trumpeter Swan,"Mix of Trumpeter and Tundra. Definitely quite a lot of Tundra Swans with yellow lores but also a few immature/adult Trumpeter with larger sloping bills, v-shaped foreheads and larger size"
Fox Sparrow,DEJU,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1892813305,,Fox Sparrow,"Upside-down “v” pattern on breast, overall reddish tail, back, cheek and wings, gray crown, whitish wing bar.  In meadow edge thicket associating  with DEJU.  Photos to come"
American Wigeon,aythya,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1616372323,,American Wigeon,"1 adult male, cream colored on crown. On fringe of aythya raft."
Northern Shrike,Blue Jay,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1918473298,,Northern Shrike,"Never expected to see a shrike in my yard! Gray and brown bird (immature) with black mask, hooked beak, black back, and long tail. Perched in bare tree far enough away so that I had to watch it with my scope rather than binoculars. Calling repeatedly with audio exactly matching Merlin's audio for Northern Shrike but too far away to get good audio. The shrike was also getting harassed by Blue Jays. Lifer!!"
Brown-headed Cowbird,BB,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1639946191,,Brown-headed Cowbird,Continuing with BB flock
Red-winged Blackbird,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1632896216,,Red-winged Blackbird,All flew in together.  Have photos
Northern Pintail,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1629274488,,Northern Pintail,"2 drakes and 2 hens. Heard males calling, ""buzz-puup"". Eventually they flew to the South with several mallards."
Fox Sparrow,birds,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1924996981,,Fox Sparrow,feeding on ground with mix of other birds
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1916109377,,Ruffed Grouse,RUGRs peacefully foraging with MODOs…predawn morning routine
Hermit Thrush,robins,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1654470948,,Hermit Thrush,Continuing thrush associating with robins.
Lesser Scaup,geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611712183,,Lesser Scaup,"M scaup, pointy head, w geese in W lagoon, N end."
Hooded Merganser,Common Goldeneye,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1907123428,,Hooded Merganser,"Distinctive males, with black bordered whote crest. Females also with brown crest. Smaller than surrounding Common Goldeneye."
Brown Creeper,"woodpeckers, nuthatch",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1633373425,,Brown Creeper,All six among assemblage of woodpeckers and nuthatch. Pic
Snow Goose,Canadas,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1632215390,,Snow Goose,"White goose with black wingtips, pink-orange bill and grin patch. Smaller than nearby Canadas.  Pic."
Lesser Yellowlegs,Greater Yellowlegs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1867070072,,Lesser Yellowlegs,Heard the birds calling and saw them flying side be side with Greater Yellowlegs
Blue-winged Teal,Gadwall,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1903345961,,Blue-winged Teal,Resident female Blue-winged Teal in Pond 9 feeding with Gadwalls
Short-eared Owl,harrier,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1892414184,,Short-eared Owl,"Continuing, seen by many others. Very active upon arrival at 4:30; hunting, flying over the field north of the trail and over the trail about 1 mile west of Dalton. Two owls observed mobbing an annoyed harrier."
Trumpeter Swan,tundra,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1889599680,,Trumpeter Swan,41 plus trumpeters in a cornfield along with 35 tundra
Red-winged Blackbird,"graclkes, starlings",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1632495790,,Red-winged Blackbird,Small flock with grackles and starlings
Northern Shoveler,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1914216758,,Northern Shoveler,Long spatula like bill. Multiple birds in corn fields with mallards
American Crow,"Peregrine Falcon, Red-tailed Hawk",TRUE,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1631474746,,American Crow,They spent the morning harassing a peregrine falcon and 2 red-tailed hawks.
Trumpeter Swan,Tundra Swan,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1642578751,,Trumpeter Swan,"Larger than the Tundra swan adjacent to them, more angular bill, the bill was entirely black, the eye was contained in the black of the bill. The Tundra swans eye appears outside the base of the bill making it easier to see it. A clear separation."
Snow Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1914368827,,Snow Goose,Continuing Blue phase with Canada Geese off the NW University campus.
American Black Duck,Mallard,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607416205,,American Black Duck,Mixed in with the Mallards
Brant,Canadas,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1916543770,,Brant,"Continuing. Flew in from the north with a flock of Canadas. Small goose almost the size of a mallard, all dark colored with white on its neck."
Peregrine Falcon,dove,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1933281819,,Peregrine Falcon,"Spotted a pair of Peregrine Falcons in Royal Oak, MI; one was eating a dove, one was perched nearby on the corner of the building."
Common Grackle,"rusty, red wing, cowbird",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1899975736,,Common Grackle,"Roosting with rusty, red wing, cowbird in trees close to trail"
American White Pelican,Tundra swans,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912999360,,American White Pelican,"Minimum number.  Two tight groups and several individuals clustered in south part of Vermet Unit.  Mixed with Tundra swans.  Very large birds, large yellow bills, black on wings when raised. Added a blurry photo of one group taken after most of the Tundra Swans had flown from area, but should be sufficient for ID."
Tundra Swan,Mute Swans,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1612148732,,Tundra Swan,Swans smaller than nearby Mute Swans with yellow spot on the lores
Iceland Gull,"Ring-billed, Herring Gulls",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1896957299,,Iceland Gull,Single adult Thayer's form perched on the ice with Ring-billed and Herring Gulls.  The underside of the folded primaries was white.  Eye was dark.
Sharp-shinned Hawk,RBNU,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1625377344,,Sharp-shinned Hawk,"Small accipiter, square tail, fairly large white spots on slate gray back, head with hooded look (vs capped in COHA), possible male. Flying by bird feeder and yew, trying to catch a RBNU that is hanging on to the underside of the bird feeder bar (see photo under RBNU."
Northern Pintail,mallards,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1914572477,,Northern Pintail,Drake; probably same bird continuing from 2 days ago found by Ben Wilson. Feeding amongst several dozen mallards front of Island at the at the Lost Lake and Lost Island trailhead.
Common Raven,crows,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1620628154,,Common Raven,Size similar to hawk (nearby crows were slightly bigger than rock pigeons) with hefty large bill curving down. Flight showed curve at wrist.
Red-tailed Hawk,Cooper‚Äôs hawk,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1628143297,,Red-tailed Hawk,Chasing the Cooper’s hawk off its roost.
Mallard,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1607202100,,Mallard,White duck present with mallards
American Crow,Great Horned Owl,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1893608495,,American Crow,Harassing a Great Horned Owl
Bald Eagle,geese,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1599553439,,Bald Eagle,"Flying over Oakwoods, disturbing geese."
Northern Pintail,Mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1897588520,,Northern Pintail,Two adult males. Initially viewed from about 30 yards away. Swimming with Mallards.
Short-eared Owl,harrier,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1905801300,,Short-eared Owl,"Continuing. One owl briefly chased a harrier, then landed and sat on top of post."
Snow Goose,Canadas,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1930158978,,Snow Goose,"Found by Rollin Bresson, really ratty mostly dark juvenile goose associating with Canadas. Pics"
American Crow,"eagle, red tail hawk",TRUE,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1874036027,,American Crow,Have many around my land. They were chasing the eagle around and a red tail hawk
Cedar Waxwing,Robins,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1910184014,,Cedar Waxwing,They covered the top 1/3 of two very large trees.  Flying back and forth to a crab apple tree.  Robins were in a tree behind the house with more CEDW.  Checked closely to see if there were any BOWA but didn't see any.
Sanderling,purple sandpipers,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1910084046,,Sanderling,hanging with two purple sandpipers among the rocks on the Lake Michigan side of the north arm of breakwall. Photos to come.
Snow Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1919263240,,Snow Goose,"White phase, mixed with Canada Geese. Black tipped wings . “Grin” on bill"
Lesser Scaup,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1630225242,,Lesser Scaup,"Continuing-swimming with large flock of mallards- much smaller than the mallards, and dark, somewhat drab overall, with a darker head, with a lot of bright white around the outside of the base of the bill. I initially thought greater scaup, as the head seemed round to me, and there was a lot of white at the base of the bill. But after reviewing the photos of other birders, and consulting with them, I have changed my i.d. Special thanks to Isaac Smith."
Snow Bunting,Horned Larks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1616448989,,Snow Bunting,"Was able to definitively ID 2 in the flocks of Horned Larks. Probably a few more, but not many."
Sharp-shinned Hawk,birds,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1895772131,,Sharp-shinned Hawk,"Small hawk. Similar to Cooper's but smaller, small ""parakeet-like"" beak. Also smaller, more rounded head than blocky looking Cooper's. Perched on tree branch near bird feeders. All other birds had vanished."
Barred Owl,crows,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1637366185,,Barred Owl,Owl is tucked into the top of red pine where the branches are the thickest.  Surrounded by crows calling and swarming.  The crows were doing this same behavior at 9:30 am but I couldn’t locate an owl or other cause of their attention.
Purple Sandpiper,Ring-billed seagull,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1883435819,,Purple Sandpiper,"Flushed up once by Ring-billed seagull on the south pier by the diagonal piece of wood on top of the rocks. Flew up one other time from rocks, otherwise stayed in the rocks not visible from the weather station to the north."
Brown-headed Cowbird,Red-winged Blackbirds,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1641751469,,Brown-headed Cowbird,Mixed flock with Red-Winged Blackbirds. Mixture of males and females with distinctive two-tone head and body. Picture taken.
Fox Sparrow,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1628217723,,Fox Sparrow,"In the same tree; all had heavy sparrow bills, heavy streaking on white chest; grayish faces, reddish cast on back,rump, tail feathers……"
Tundra Swan,Trumpeters,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1902078691,,Tundra Swan,Three where I could clearly see a yellow spot at the base of the black bill and eye more separate from bills. With Trumpeters.
Bald Eagle,red tailed hawk,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1628253848,,Bald Eagle,Mature eagle being followed directly behind by an immature eagle as the red tailed hawk watched
Greater White-fronted Goose,Canadian geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1896245152,,Greater White-fronted Goose,Cont. Standing on ice with group of Canadian  geese. Orange feet and white at base of beak. Horizontal white line on side.
Iceland Gull,"HERG, RBGU",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1920706432,,Iceland Gull,"Very pale Kumlien’s type.  Immature with black bill.  Slightly smaller than nearby HERG, larger than RBGU.  Resting on the Elberta pier with the other gulls. Pics."
Greater Scaup,LESC,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1881530434,,Greater Scaup,Seen in flight together with single LESC; distinguished by size and more extensive white in wing.
